0.735561 -0.60782 -770.132 636.388
0.772277 -0.560431 -808.574 586.772
0.805945 -0.51083 -843.824 534.84
0.836432 -0.459213 -875.744 480.796
0.863617 -0.405784 -904.207 424.856
0.887394 -0.350753 -929.101 367.238
0.907668 -0.294337 -950.328 308.171
0.924359 -0.23676 -967.804 247.887
0.937402 -0.178248 -981.46 186.625
0.946745 -0.119032 -991.242 124.627
0.952351 -0.0593468 -997.112 62.1361
0.954198 0.000572724 -999.046 -0.599642
0.952279 0.06049 -997.036 -63.333
0.946601 0.120169 -991.092 -125.816
0.937187 0.179373 -981.235 -187.803
0.924074 0.237869 -967.506 -249.049
0.907314 0.295426 -949.957 -309.311
0.886972 0.351818 -928.66 -368.353
0.863129 0.40682 -903.696 -425.941
0.83588 0.460217 -875.166 -481.847
0.805331 0.511798 -843.182 -535.852
0.771604 0.561358 -807.869 -587.742
0.734831 0.608703 -769.368 -637.312
0.695157 0.653645 -727.83 -684.366
0.65274 0.696007 -683.419 -728.719
0.607746 0.735622 -636.31 -770.196
0.560354 0.772333 -586.691 -808.633
0.51075 0.805996 -534.755 -843.878
0.45913 0.836477 -480.709 -875.792
0.405697 0.863658 -424.765 -904.249
0.350664 0.887429 -367.145 -929.138
0.294246 0.907697 -308.076 -950.359
0.236667 0.924383 -247.79 -967.829
0.178154 0.93742 -186.527 -981.479
0.118937 0.946757 -124.527 -991.254
0.0592516 0.952357 -62.0364 -997.118
-0.000668178 0.954198 0.699582 -999.046
-0.0605853 0.952273 63.4328 -997.03
-0.120263 0.946589 125.916 -991.079
-0.179467 0.937169 187.901 -981.216
-0.237961 0.92405 249.146 -967.481
-0.295517 0.907284 309.406 -949.926
-0.351906 0.886937 368.446 -928.623
-0.406907 0.863088 426.031 -903.654
-0.460301 0.835834 481.935 -875.118
-0.511878 0.80528 535.936 -843.128
-0.561435 0.771547 587.823 -807.81
-0.608776 0.73477 637.389 -769.304
-0.653714 0.695092 684.439 -727.761
-0.696072 0.65267 728.787 -683.346
-0.735682 0.607673 770.259 -636.233
-0.772389 0.560277 808.691 -586.61
-0.806047 0.510669 843.931 -534.671
-0.836523 0.459046 875.84 -480.621
-0.863698 0.405611 904.292 -424.675
-0.887464 0.350575 929.175 -367.052
-0.907726 0.294155 950.39 -307.981
-0.924406 0.236575 967.853 -247.694
-0.937438 0.17806 981.497 -186.429
-0.946769 0.118843 991.267 -124.428
-0.952363 0.0591563 997.124 -61.9366
-0.954198 -0.000763632 999.045 0.799523
-0.952267 -0.0606805 997.024 63.5325
-0.946577 -0.120358 991.066 126.015
-0.937151 -0.17956 981.198 188
-0.924027 -0.238054 967.456 249.242
-0.907254 -0.295608 949.895 309.501
-0.886901 -0.351995 928.586 368.539
-0.863048 -0.406993 903.611 426.122
-0.835788 -0.460384 875.07 482.022
-0.805229 -0.511959 843.074 536.021
-0.771491 -0.561512 807.751 587.903
-0.734709 -0.60885 769.24 637.465
-0.695026 -0.653784 727.693 684.511
-0.652601 -0.696137 683.273 728.856
-0.607599 -0.735743 636.156 770.323
-0.560199 -0.772445 586.529 808.75
-0.510589 -0.806098 534.586 843.985
-0.458962 -0.836569 480.534 875.888
-0.405525 -0.863739 424.584 904.334
-0.350486 -0.887499 366.959 929.211
-0.294065 -0.907756 307.886 950.42
-0.236482 -0.92443 247.597 967.878
-0.177966 -0.937455 186.331 981.516
-0.118748 -0.946781 124.329 991.279
-0.059061 -0.952369 61.8369 997.13
0.000859086 -0.954198 -0.899463 999.045
0.0607758 -0.952261 -63.6323 997.017
0.120453 -0.946565 -126.114 991.054
0.179654 -0.937133 -188.098 981.179
0.238146 -0.924003 -249.339 967.431
0.295699 -0.907225 -309.596 949.864
0.352084 -0.886866 -368.632 928.549
0.407079 -0.863007 -426.212 903.568
0.460468 -0.835742 -482.11 875.021
0.512039 -0.805177 -536.105 843.021
0.561589 -0.771435 -587.984 807.692
0.608923 -0.734648 -637.542 769.176
0.653853 -0.694961 -684.584 727.624
0.696202 -0.652531 -728.924 683.2
0.735804 -0.607526 -770.387 636.079
0.772501 -0.560122 -808.809 586.448
0.806149 -0.510508 -844.038 534.502
0.836615 -0.458879 -875.936 480.446
0.863779 -0.405438 -904.377 424.494
0.887534 -0.350398 -929.248 366.866
0.907785 -0.293974 -950.451 307.791
0.924454 -0.23639 -967.903 247.5
0.937473 -0.177872 -981.534 186.233
0.946793 -0.118653 -991.292 124.23
0.952375 -0.0589657 -997.136 61.7371
0.954198 0.00095454 -999.045 -0.999403
0.952255 0.0608711 -997.011 -63.732
0.946553 0.120547 -991.041 -126.213
0.937116 0.179748 -981.16 -188.196
0.923979 0.238239 -967.406 -249.436
0.907195 0.295789 -949.834 -309.691
0.886831 0.352173 -928.512 -368.725
0.862966 0.407166 -903.526 -426.302
0.835695 0.460552 -874.973 -482.198
0.805126 0.51212 -842.967 -536.189
0.771379 0.561667 -807.634 -588.065
0.734587 0.608997 -769.113 -637.619
0.694896 0.653923 -727.556 -684.657
0.652461 0.696268 -683.127 -728.992
0.607452 0.735865 -636.002 -770.45
0.560045 0.772557 -586.367 -808.867
0.510427 0.8062 -534.417 -844.092
0.458795 0.836661 -480.358 -875.984
0.405352 0.86382 -424.403 -904.419
0.350309 0.887569 -366.773 -929.285
0.293883 0.907815 -307.695 -950.482
0.236297 0.924477 -247.403 -967.928
0.177779 0.937491 -186.134 -981.553
0.118559 0.946804 -124.131 -991.304
0.0588705 0.952381 -61.6374 -997.143
-0.00104999 0.954198 1.09934 -999.045
-0.0609663 0.952249 63.8317 -997.005
-0.120642 0.946541 126.312 -991.029
-0.179842 0.937098 188.294 -981.141
-0.238331 0.923955 249.533 -967.381
-0.29588 0.907166 309.786 -949.803
-0.352261 0.886796 368.818 -928.475
-0.407252 0.862926 426.393 -903.483
-0.460635 0.835649 482.285 -874.925
-0.5122 0.805075 536.274 -842.913
-0.561744 0.771323 588.146 -807.575
-0.60907 0.734526 637.696 -769.049
-0.653992 0.69483 684.73 -727.487
-0.696333 0.652392 729.061 -683.054
-0.735925 0.607378 770.514 -635.925
-0.772613 0.559968 808.926 -586.286
-0.806251 0.510347 844.145 -534.333
-0.836707 0.458711 876.032 -480.271
-0.86386 0.405265 904.462 -424.313
-0.887604 0.35022 929.321 -366.68
-0.907844 0.293792 950.513 -307.6
-0.924501 0.236205 967.953 -247.306
-0.937509 0.177685 981.572 -186.036
-0.946816 0.118464 991.317 -124.032
