99.9061 -0.0120536 51.8138 -77.1437 -46.4002 -88.4775 -92.382 -10.0693
99.9059 -0.0124106 50.0999 -74.1969 -40.7264 -91.228 -88.1733 -15.513
99.9056 -0.01274 48.6993 -70.9374 -34.8903 -93.6151 -83.4756 -20.87
99.9053 -0.0130399 47.6197 -67.3608 -28.9153 -95.6293 -78.2568 -26.0958
99.905 -0.0133085 46.8638 -63.4592 -22.8251 -97.2626 -72.4835 -31.1356
99.9047 -0.0135441 46.4279 -59.2212 -16.644 -98.5085 -66.1235 -35.9218
99.9043 -0.013745 46.2997 -54.6312 -10.3966 -99.3619 -59.1472 -40.3712
99.904 -0.0139099 46.4562 -49.6699 -4.10781 -99.8195 -51.5319 -44.3817
99.9037 -0.0140373 46.86 -44.3156 2.19737 -99.8795 -43.2675 -47.8295
99.9033 -0.0141261 47.4568 -38.547 8.49378 -99.5416 -34.3655 -50.5671
99.903 -0.0141751 48.1714 -32.3481 14.7564 -98.8071 -24.8706 -52.4246
99.9026 -0.0141831 48.9079 -25.717 20.9601 -97.6791 -14.8759 -53.217
99.9022 -0.014149 49.5526 -18.6767 27.0804 -96.1619 -4.53779 -52.7607
99.9019 -0.0140714 49.9855 -11.2865 33.0928 -94.2616 5.91573 -50.9013
99.9015 -0.0139486 50.1 -3.64877 38.9734 -91.9858 16.1919 -47.5515
99.9011 -0.0137786 49.8275 4.09585 44.6986 -89.3435 25.9631 -42.7255
99.9007 -0.0135597 49.157 11.7877 50.2459 -86.3453 34.9171 -36.5535
99.9004 -0.0132902 48.1397 19.2762 55.5929 -83.0031 42.8086 -29.2647
99.9 -0.0129696 46.8744 26.444 60.7184 -79.3302 49.4917 -21.1439
99.8996 -0.0125978 45.4842 33.2184 65.6021 -75.3412 54.9224 -12.482
99.8993 -0.0121753 44.0919 39.5683 70.2244 -71.0521 59.1374 -3.53797
99.8989 -0.011703 42.8058 45.4933 74.5669 -66.4799 62.2251 5.4785
99.8986 -0.0111823 41.7123 51.0108 78.6123 -61.6428 64.299 14.41
99.8983 -0.0106148 40.8755 56.1464 82.3446 -56.5601 65.4794 23.1448
99.898 -0.0100021 40.3404 60.9268 85.7487 -51.2521 65.8817 31.6075
99.8978 -0.00934647 40.1358 65.3761 88.8112 -45.7398 65.6114 39.75
99.8975 -0.00864995 40.2783 69.5139 91.5199 -40.0453 64.762 47.5438
99.8973 -0.00791498 40.775 73.3549 93.8639 -34.1912 63.4148 54.9738
99.8971 -0.00714414 41.6259 76.9092 95.8339 -28.2009 61.6399 62.0345
99.8969 -0.00634014 42.8255 80.1827 97.4221 -22.0982 59.4975 68.7266
99.8968 -0.00550584 44.3643 83.1777 98.6221 -15.9075 57.0392 75.055
99.8967 -0.00464426 46.2294 85.8938 99.4292 -9.65335 54.3095 81.0271
99.8966 -0.00375851 48.4055 88.3283 99.84 -3.36073 51.3464 86.6518
99.8965 -0.00285183 50.8753 90.4771 99.8531 2.94528 48.183 91.9391
99.8965 -0.00192755 53.6197 92.3348 99.4683 9.23958 44.8478 96.8993
99.8965 -0.000989074 56.6184 93.8956 98.6871 15.4971 41.3658 101.543
99.8965 -3.98877e-05 59.8496 95.1533 97.5127 21.6928 37.7586 105.879
99.8966 0.000916475 63.2911 96.1019 95.9498 27.8021 34.0455 109.919
99.8967 0.00187644 66.9195 96.7355 94.0046 33.8007 30.2434 113.672
99.8968 0.0028364 70.7107 97.0492 91.6847 39.6646 26.3673 117.147
99.8969 0.00379274 74.6405 97.0385 88.9996 45.3705 22.4306 120.352
99.8971 0.00474185 78.6838 96.7002 85.9598 50.8955 18.4452 123.296
99.8973 0.00568012 82.8157 96.0319 82.5774 56.2178 14.422 125.986
99.8976 0.006604 87.0107 95.0326 78.8661 61.3161 10.3707 128.431
99.8978 0.00750994 91.2436 93.7026 74.8404 66.1701 6.30019 130.636
99.8981 0.00839449 95.4891 92.0435 70.5166 70.7605 2.21864 132.609
99.8985 0.00925423 99.7221 90.0582 65.9118 75.0689 -1.86652 134.356
99.8988 0.0100858 103.918 87.7513 61.0443 79.0782 -5.94842 135.882
99.8992 0.0108861 108.052 85.1287 55.9336 82.7724 -10.0207 137.192
99.8996 0.0116519 112.101 82.1978 50.6 86.1369 -14.0773 138.293
99.9 0.0123801 116.042 78.9677 45.0648 89.1581 -18.1128 139.189
99.9004 0.0130679 119.852 75.4485 39.3501 91.8241 -22.1219 139.884
99.9009 0.0137125 123.509 71.6521 33.4785 94.1242 -26.0997 140.383
